tconst,titleType,originalTitle,primaryTitle,startYear,endYear,runtimeMinutes,genres
tt6723186,tvEpisode,Episode #1.31,Episode #1.31,1991,,,"Drama,Romance"
tt31610473,movie,The Royal Ballet: Manon,The Royal Ballet: Manon,2024,,195,
tt5659174,tvEpisode,Episode #1.10849,Episode #1.10849,2016,,42,"Drama,Romance"
tt38755322,tvEpisode,Tina Teaspoon and the School Mouse,Tina Teaspoon and the School Mouse,1983,,,Family
tt1311393,tvEpisode,Episode #1.2407,Episode #1.2407,2008,,30,"Drama,Romance"
tt1296998,tvEpisode,Episode #1.6906,Episode #1.6906,2008,,22,"Crime,Drama,Romance"
tt15721490,tvSeries,The Bounty Bunch,The Bounty Bunch,2021,2024,,"Comedy,Drama,Talk-Show"
tt27517601,tvEpisode,ASK Prooxy - Strcil sis nekdy cédécko do zadku,ASK Prooxy - Strcil sis nekdy cédécko do zadku,2014,,9,"Comedy,Reality-TV"
tt35503781,tvEpisode,Live on (6-3-14),Live on (6-3-14),2014,,,Sport
tt6691586,tvEpisode,Episode #1.4,Episode #1.4,1998,,,"Comedy,Drama"
tt0535511,tvEpisode,Episode dated 21 July 2003,Episode dated 21 July 2003,2003,,,Family
tt2670410,tvEpisode,Episode #1.5,Episode #1.5,1980,,,Family
tt7631174,tvEpisode,Episode #1.2,Episode #1.2,2018,,,"Comedy,Romance"
tt8150294,tvEpisode,Episode #1.9407,Episode #1.9407,2018,,22,"Crime,Drama,Romance"
tt30632722,tvEpisode,Episode dated 21 December 2023,Episode dated 21 December 2023,2023,,60,"News,Talk-Show"
tt0386792,tvMovie,Something the Lord Made,Something the Lord Made,2004,,110,"Biography,Drama"
tt2641470,tvEpisode,Ikuukan kara no dasshutsu,Ikuukan kara no dasshutsu,2006,,,"Action,Adventure,Comedy"
tt13750818,tvEpisode,Ryûgû shiroda yo! Zendaman,Ryûgû shiroda yo! Zendaman,1979,,,"Action,Adventure,Animation"
tt12740118,tvEpisode,Friends or Foes,Friends or Foes,2020,,,"Action,Adventure,Drama"
tt10604958,tvEpisode,Episode #1.100,Episode #1.100,2018,,,"Drama,Romance"
tt31049499,tvEpisode,Episode dated 25 January 2024,Episode dated 25 January 2024,2024,,,Documentary
